"4294967296","281470681743359","-","-","-","-","-","-","-","-"
"281470698552576","281470698552831","JP","Japan","Tottori","Tottori","35.5","134.233","680-0805","+09:00","81","085","7"
"281470698552832","281470698553087","JP","Japan","Hiroshima","Hiroshima","34.38528","132.45528","732-0057","+09:00","81","082","13"
"281470698553088","281470698553343","JP","Japan","Okayama","Okayama","34.65","133.917","700-0824","+09:00","81","086","2"
"281470698553344","281470698553599","TH","Thailand","Chiang Mai","Chiang Mai","18.79038","98.98468","50000","+07:00","66","053","314"
"281470698553600","281470698554111","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698554112","281470698554367","TH","Thailand","Songkhla","Songkhla","7.19882","100.5951","90190","+07:00","66","074","12"
"281470698554368","281470698554623","TH","Thailand","Ang Thong","Wiset Chaichan","14.5945","100.33825","14110","+07:00","66","035","10"
"281470698554624","281470698554879","TH","Thailand","Phra Nakhon Si Ayutthaya","Bang Ban","14.37394","100.48528","13250","+07:00","66","035","10"
"281470698554880","281470698555135","TH","Thailand","Saraburi","Wihan Daeng","14.34586","100.98942","18150","+07:00","66","036","10"
"281470698555136","281470698555391","TH","Thailand","Ang Thong","Wiset Chaichan","14.5945","100.33825","14110","+07:00","66","035","10"
"281470698555392","281470698555647","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698555648","281470698555903","TH","Thailand","Suphan Buri","Song Phi Nong","14.22408","100.02094","72110","+07:00","66","035","8"
"281470698555904","281470698556415","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698556416","281470698556671","TH","Thailand","Maha Sarakham","Kosum Phisai","16.24858","103.06739","44140","+07:00","66","043","159"
"281470698556672","281470698556927","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698556928","281470698557183","TH","Thailand","Samut Songkhram","Samut Songkhram","13.41456","100.00264","75000","+07:00","66","034","7"
"281470698557184","281470698557439","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698557440","281470698557695","TH","Thailand","Chumphon","Chumphon","10.5","99.16667","86140","+07:00","66","077","10"
"281470698557696","281470698557951","TH","Thailand","Satun","Satun","6.62314","100.06676","91130","+07:00","66","074","10"
"281470698557952","281470698558207","TH","Thailand","Chumphon","Chumphon","10.5","99.16667","86140","+07:00","66","077","10"
"281470698558208","281470698558463","TH","Thailand","Krabi","Ko Lanta","7.53362","99.08647","81150","+07:00","66","075","51"
"281470698558464","281470698558719","TH","Thailand","Nakhon Si Thammarat","Cha-uat","7.96773","99.99985","80180","+07:00","66","075","8"
"281470698558720","281470698558975","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698558976","281470698559231","TH","Thailand","Phatthalung","Srinagarindra","7.56991","99.94353","93180","+07:00","66","074","53"
"281470698559232","281470698559487","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698559488","281470698559743","TH","Thailand","Satun","Manang","6.99933","99.92161","91160","+07:00","66","074","32"
"281470698559744","281470698559999","TH","Thailand","Phatthalung","Phatthalung","7.61786","100.07792","93170","+07:00","66","074","13"
"281470698560000","281470698560255","TH","Thailand","Phangnga","Takua Thung","8.38373","98.45123","82130","+07:00","66","076","8"
"281470698560256","281470698560511","TH","Thailand","Phangnga","Takua Pa","8.8705","98.34383","82110","+07:00","66","076","10"
"281470698560512","281470698560767","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698560768","281470698561023","TH","Thailand","Surat Thani","Surat Thani","9.14011","99.33311","84150","+07:00","66","077","9"
"281470698561024","281470698561279","TH","Thailand","Nakhon Si Thammarat","Cha-uat","7.96773","99.99985","80180","+07:00","66","075","8"
"281470698561280","281470698561535","TH","Thailand","Chumphon","Chumphon","10.5","99.16667","86140","+07:00","66","077","10"
"281470698561536","281470698561791","TH","Thailand","Nakhon Si Thammarat","Phra Phrom","8.33911","99.90092","80230","+07:00","66","075","16"
"281470698561792","281470698562047","TH","Thailand","Nakhon Si Thammarat","Ron Phibun","8.17911","99.85425","80130","+07:00","66","075","30"
"281470698562048","281470698562303","TH","Thailand","Nakhon Si Thammarat","Phra Phrom","8.33911","99.90092","80230","+07:00","66","075","16"
"281470698562304","281470698562559","TH","Thailand","Nakhon Si Thammarat","Thung Yai","8.30119","99.3661","80240","+07:00","66","075","32"
"281470698562560","281470698562815","TH","Thailand","Nakhon Si Thammarat","Ko Pha Ngan","9.75778","100.02914","84280","+07:00","66","075","411"
"281470698562816","281470698563071","TH","Thailand","Nakhon Si Thammarat","Ron Phibun","8.17911","99.85425","80130","+07:00","66","075","30"
"281470698563072","281470698563327","TH","Thailand","Ranong","Suk Samran","9.34458","98.42903","82150","+07:00","66","077","38"
"281470698563328","281470698563583","TH","Thailand","Ranong","Ranong","9.96583","98.63476","85000","+07:00","66","077","36"
"281470698563584","281470698563839","TH","Thailand","Chumphon","Chumphon","10.5","99.16667","86140","+07:00","66","077","10"
"281470698563840","281470698564095","TH","Thailand","Phangnga","Takua Thung","8.38373","98.45123","82130","+07:00","66","076","8"
"281470698564096","281470698564351","TH","Thailand","Phatthalung","Srinagarindra","7.56991","99.94353","93180","+07:00","66","074","53"
"281470698564352","281470698564607","TH","Thailand","Phangnga","Takua Thung","8.38373","98.45123","82130","+07:00","66","076","8"
"281470698564608","281470698564863","TH","Thailand","Phangnga","Phangnga","8.4509","98.52985","82130","+07:00","66","076","15"
"281470698564864","281470698565119","TH","Thailand","Nakhon Si Thammarat","Ron Phibun","8.17911","99.85425","80130","+07:00","66","075","30"
"281470698565120","281470698565631","TH","Thailand","Phangnga","Phangnga","8.4509","98.52985","82130","+07:00","66","076","15"
"281470698565632","281470698565887","TH","Thailand","Chon Buri","Phatthaya","12.93333","100.88333","76130","+07:00","66","038","10"
"281470698565888","281470698566143","TH","Thailand","Chon Buri","Chon Buri","13.3622","100.98345","20160","+07:00","66","038","7"
"281470698566144","281470698566399","TH","Thailand","Chachoengsao","Chachoengsao","13.6882","101.07156","24140","+07:00","66","038","6"
"281470698566400","281470698566655","TH","Thailand","Chon Buri","Ban Talat Bueng","13.07147","101.00314","20170","+07:00","66","038","42"
"281470698566656","281470698566911","TH","Thailand","Rayong","Rayong","12.68095","101.25798","21000","+07:00","66","038","6"
"281470698566912","281470698567167","TH","Thailand","Kamphaeng Phet","Khlong Khlung","16.21633","99.71906","62120","+07:00","66","055","61"
"281470698567168","281470698567423","TH","Thailand","Chachoengsao","Chachoengsao","13.6882","101.07156","24140","+07:00","66","038","6"
"281470698567424","281470698567679","TH","Thailand","Chon Buri","Ban Talat Bueng","13.07147","101.00314","20170","+07:00","66","038","42"
"281470698567680","281470698567935","TH","Thailand","Chachoengsao","Chachoengsao","13.6882","101.07156","24140","+07:00","66","038","6"
"281470698567936","281470698568191","TH","Thailand","Samut Prakan","Ban Bang Bo","13.58333","100.81667","10560","+07:00","66","02","4"
"281470698568192","281470698568447","TH","Thailand","Rayong","Rayong","12.68095","101.25798","21000","+07:00","66","038","6"
"281470698568448","281470698568703","TH","Thailand","Prachin Buri","Prachin Buri","14.04992","101.36864","25150","+07:00","66","037","7"
"281470698568704","281470698568959","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698568960","281470698569215","TH","Thailand","Rayong","Pluak Daeng","12.97122","101.21463","21140","+07:00","66","038","57"
"281470698569216","281470698569471","TH","Thailand","Nakhon Nayok","Nakhon Nayok","14.20463","101.21295","26000","+07:00","66","037","11"
"281470698569472","281470698569727","TH","Thailand","Rayong","Pluak Daeng","12.97122","101.21463","21140","+07:00","66","038","57"
"281470698569728","281470698569983","TH","Thailand","Chumphon","Chumphon","10.5","99.16667","86140","+07:00","66","077","10"
"281470698569984","281470698570239","TH","Thailand","Krabi","Ko Lanta","7.53362","99.08647","81150","+07:00","66","075","51"
"281470698570240","281470698570495","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698570496","281470698570751","TH","Thailand","Phuket","Thalang","8.0317","98.33408","83110","+07:00","66","076","15"
"281470698570752","281470698571007","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698571008","281470698571263","TH","Thailand","Nakhon Si Thammarat","Cha-uat","7.96773","99.99985","80180","+07:00","66","075","8"
"281470698571264","281470698571519","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698571520","281470698571775","TH","Thailand","Surat Thani","Surat Thani","9.14011","99.33311","84150","+07:00","66","077","9"
"281470698571776","281470698572031","TH","Thailand","Chon Buri","Ban Talat Bueng","13.07147","101.00314","20170","+07:00","66","038","42"
"281470698572032","281470698572287","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698572288","281470698572543","TH","Thailand","Nakhon Si Thammarat","Ron Phibun","8.17911","99.85425","80130","+07:00","66","075","30"
"281470698572544","281470698572799","TH","Thailand","Nakhon Si Thammarat","Tham Phannara","8.42044","99.39517","80150","+07:00","66","075","57"
"281470698572800","281470698573055","TH","Thailand","Uttaradit","Uttaradit","17.62557","100.09421","53140","+07:00","66","055","68"
"281470698573056","281470698573311","TH","Thailand","Kamphaeng Phet","Phran Kratai","16.66511","99.58894","62110","+07:00","66","055","67"
"281470698573312","281470698573567","TH","Thailand","Phetchabun","Lom Kao","16.88614","101.22894","67120","+07:00","66","056","162"
"281470698573568","281470698573823","TH","Thailand","Phetchabun","Phetchabun","16.41904","101.16056","67000","+07:00","66","056","119"
"281470698573824","281470698574079","TH","Thailand","Phetchaburi","Cha-am","12.8","99.96667","76120","+07:00","66","032","5"
"281470698574080","281470698574335","TH","Thailand","Ratchaburi","Ratchaburi","13.53671","99.81712","70000","+07:00","66","032","8"
"281470698574336","281470698574591","TH","Thailand","Saraburi","Wihan Daeng","14.34586","100.98942","18150","+07:00","66","036","10"
"281470698574592","281470698574847","TH","Thailand","Saraburi","Muak Lek","14.65287","101.20022","18180","+07:00","66","036","219"
"281470698574848","281470698575103","TH","Thailand","Phetchaburi","Cha-am","12.8","99.96667","76120","+07:00","66","032","5"
"281470698575104","281470698575359","TH","Thailand","Ratchaburi","Ratchaburi","13.53671","99.81712","70000","+07:00","66","032","8"
"281470698575360","281470698575615","TH","Thailand","Pattani","Pattani","6.86814","101.25009","94170","+07:00","66","073","9"
"281470698575616","281470698575871","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698575872","281470698576639","TH","Thailand","Nakhon Si Thammarat","Ron Phibun","8.17911","99.85425","80130","+07:00","66","075","30"
"281470698576640","281470698576895","TH","Thailand","Nakhon Si Thammarat","Lan Saka","8.37097","99.80564","80230","+07:00","66","075","42"
"281470698576896","281470698577151","TH","Thailand","Nakhon Si Thammarat","Pak Phanang","8.35109","100.20195","80140","+07:00","66","075","5"
"281470698577152","281470698577407","TH","Thailand","Surat Thani","Chaiya","9.38624","99.19861","84110","+07:00","66","077","9"
"281470698577408","281470698577919","TH","Thailand","Surat Thani","Ko Samui","9.53567","99.93567","84140","+07:00","66","077","5"
"281470698577920","281470698578175","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698578176","281470698578687","TH","Thailand","Phuket","Thalang","8.0317","98.33408","83110","+07:00","66","076","15"
"281470698578688","281470698578943","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698578944","281470698579199","TH","Thailand","Phuket","Thalang","8.0317","98.33408","83110","+07:00","66","076","15"
"281470698579200","281470698579455","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698579456","281470698579711","TH","Thailand","Phuket","Thalang","8.0317","98.33408","83110","+07:00","66","076","15"
"281470698579712","281470698581759","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698581760","281470698582015","TH","Thailand","Phuket","Thalang","8.0317","98.33408","83110","+07:00","66","076","15"
"281470698582016","281470698582271","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698582272","281470698582527","TH","Thailand","Phatthalung","Kong Ra","7.40272","99.94972","93180","+07:00","66","074","57"
"281470698582528","281470698582783","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698582784","281470698583039","TH","Thailand","Surat Thani","Surat Thani","9.14011","99.33311","84150","+07:00","66","077","9"
"281470698583040","281470698583295","TH","Thailand","Kalasin","Somdet","16.70462","103.74934","46150","+07:00","66","043","198"
"281470698583296","281470698583551","TH","Thailand","Trang","Trang","7.55633","99.61141","92160","+07:00","66","075","27"
"281470698583552","281470698583807","TH","Thailand","Phatthalung","Srinagarindra","7.56991","99.94353","93180","+07:00","66","074","53"
"281470698583808","281470698584063","TH","Thailand","Phuket","Phuket","7.89059","98.3981","83120","+07:00","66","076","24"
"281470698584064","281470698584319","TH","Thailand","Yala","Betong","5.77434","101.07231","95110","+07:00","66","073","271"
"281470698584320","281470698584831","TH","Thailand","Narathiwat","Rueso","6.39364","101.51847","96150","+07:00","66","073","37"
"281470698584832","281470698585599","TH","Thailand","Songkhla","Hat Yai","7.00836","100.47668","90110","+07:00","66","074","11"
"281470698585600","281470698585855","TH","Thailand","Songkhla","Rattaphum","7.13478","100.25647","90110","+07:00","66","074","32"
"281470698585856","281470698586111","TH","Thailand","Songkhla","Hat Yai","7.00836","100.47668","90110","+07:00","66","074","11"
"281470698586112","281470698586367","CN","China","Fujian","Fuzhou","26.06139","119.30611","350004","+08:00","86","0591","11"
"281470698586368","281470698586368","US","United States","California","Los Angeles","34.05223","-118.24368","90001","-07:00","1","213/310/424/323","86"
"281470698586369","281470698586369","HK","Hong Kong","Hong Kong","Hong Kong","22.28552","114.15769","-","+08:00","852","02522","4"
"281470698586370","281470698586623","US","United States","California","Los Angeles","34.05223","-118.24368","90001","-07:00","1","213/310/424/323","86"
"281470698586624","281470698588159","CN","China","Fujian","Fuzhou","26.06139","119.30611","350004","+08:00","86","0591","11"
"281470698588160","281470698588415","CN","China","Shanghai","Shanghai","31.22222","121.45806","200020","+08:00","86","021","11"
"281470698588416","281470698602495","CN","China","Guangdong","Guangzhou","23.11667","113.25","510140","+08:00","86","020","11"
"281470698602496","281470698618879","JP","Japan","Tokyo","Tokyo","35.689506","139.6917","160-0021","+09:00","81","042","36"
"281470698618880","281470698619135","TH","Thailand","Nong Khai","Sangkhom","18.06389","102.27364","43130","+07:00","66","042","180"
